Nome,Categoria,Bio
John Abbott,MASSONE,È un **Massone**. Precisamente: **Fu il terzo Primo Ministro del Canada. Iniziato alla Loggia St. Paul's, No. 374 a Montréal nel 1847.**
Joseph Palmer Abbott,MASSONE,È un **Massone**. Precisamente: **Politico australiano del XIX secolo.**
Robert S. Abbott,MASSONE,È un **Massone**. Precisamente: **Avvocato e influente editore di giornali afroamericano, fondatore del Chicago Defender.**
William "Bud" Abbott,MASSONE,È un **Massone**. Precisamente: **Comico e attore, metà del celebre duo Abbott & Costello.**
Nicanor Abelardo,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore e musicista filippino, figura di spicco della musica classica nazionale**, è anche massone per il seguente motivo: **Fu elevato nella Loggia Luzon No. 57.**
Ralph Abercromby,MASSONE,È un **Massone**. Precisamente: **Generale scozzese nell'esercito britannico e politico.**
Thomas Abernethy,MASSONE,È un **Massone**. Precisamente: **Congressman per il Mississippi.**
Edmond François Valentin About,MASSONE,È un **Massone**. Precisamente: **Romanziere, pubblicista e giornalista francese.**
Harold Abrahams,MASSONE,È un **Massone**. Precisamente: **Atleta britannico, campione olimpico nei 100 metri piani (ispiratore del film "Momenti di gloria").**
Benjamin Abrams,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari e co-fondatore della Emerson Radio & Phonograph Corporation.**
Franz Abt,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore tedesco e direttore di coro, noto per i suoi lieder popolari**, è anche massone per il seguente motivo: **Fu iniziato nella Loggia Brunswick nel 1853.**
Sir Thomas Dyke Acland,MASSONE,È un **Massone**. Precisamente: **Riformatore dell'istruzione e politico britannico.**
Richard Acland,MASSONE,È un **Massone**. Precisamente: **Fondatore della Campagna per il disarmo nucleare (CND).**
Roy Acuff,MASSONE,È un **Massone**. Precisamente: **Cantante americano, figura leggendaria della musica country.**
Major General Sir Allan Adair,MASSONE,È un **Massone**. Precisamente: **Generale dell'esercito britannico, servì come Assistente Gran Maestro della G.L. d'Inghilterra nel 1953.**
E. Ross Adair,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Indiana.**
Robert Adair,MASSONE,È un **Massone**. Precisamente: **Politico britannico, 1° Barone Waveney.**
Robert Adam,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Architetto scozzese di fama mondiale, fu uno dei massimi esponenti dell'architettura neoclassica**, è anche massone per il seguente motivo: **Architetto noto per il suo stile elegante e influente.**
Alva Adams,MASSONE,È un **Massone**. Precisamente: **Tre volte governatore del Colorado.**
Alva B. Adams,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Colorado.**
Andrew Adams,MASSONE,È un **Massone**. Precisamente: **Delegato per il Connecticut al Congresso Continentale e in seguito Chief Justice.**
Charles Adams,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari e promotore sportivo americano.**
Courtney Adams,MASSONE,È un **Massone**. Precisamente: **Artista visivo americano, pioniere del Cubo-Espressionismo Primitivista.**
Frank R. Adams,MASSONE,È un **Massone**. Precisamente: **Autore, sceneggiatore, compositore e giornalista americano.**
Jasper Adams,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico, professore e presidente di college americano.**
Sherman Adams,MASSONE,È un **Massone**. Precisamente: **Politico americano, eletto al Congresso e come governatore del New Hampshire.**
Samuel Adams,MASSONE,È un **Massone**. Precisamente: **Terzo governatore dell'Arkansas.**
Wilbur L. Adams,MASSONE,È un **Massone**. Precisamente: **Avvocato e politico americano.**
Henry Adamson,MASSONE,È un **Massone**. Precisamente: **Poeta e storico scozzese. Scrisse uno dei primi riferimenti noti alla Massoneria.**
Michael Adeane,MASSONE,È un **Massone**. Precisamente: **Segretario Privato della Regina Elisabetta II.**
Charles Adkins,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Illinois.**
Jesse C. Adkins,MASSONE,È un **Massone**. Precisamente: **Giudice federale degli Stati Uniti per il Distretto di Columbia.**
Julius Ochs Adler,MASSONE,È un **Massone**. Precisamente: **Editore, giornalista e Generale dell'Esercito degli Stati Uniti.**
Adolphus Frederick IV,MASSONE,È un **Massone**. Precisamente: **Duca di Meclemburgo-Strelitz.**
Adolf Frederick,MASSONE,È un **Massone**. Precisamente: **Re di Svezia dal 1751, servì come Protettore della Massoneria Svedese.**
Ignacio Agramonte,MASSONE,È un **Massone**. Precisamente: **Rivoluzionario cubano che giocò un ruolo importante nella Guerra dei Dieci Anni.**
Gregorio Aglipay,MASSONE,È un **Massone**. Precisamente: **Vescovo Supremo della Chiesa Indipendente Filippina.**
Emilio Aguinaldo,MASSONE,È un **Massone**. Precisamente: **Presidente delle Filippine. Fondatore della Loggia Magdalo No. 31.**
Granville Pearl Aikman,MASSONE,È un **Massone**. Precisamente: **Giudice distrettuale del Kansas e suffragista.**
William David Blakeslee Ainey,MASSONE,È un **Massone**. Precisamente: **Membro repubblicano della Camera dei Rappresentanti degli Stati Uniti per la Pennsylvania.**
John C. Ainsworth,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari e pioniere americano, contribuì a organizzare la Gran Loggia dell'Oregon.**
Milburn Akers,MASSONE,È un **Massone**. Precisamente: **Giornalista di Chicago e nono presidente dello Shimer College.**
Aretas Akers-Douglas,MASSONE,È un **Massone**. Precisamente: **Politico britannico e Ministro dell'Interno.**
George Edward Akerson,MASSONE,È un **Massone**. Precisamente: **Il primo addetto stampa ufficiale della Casa Bianca.**
Adeyemo Alakija,MASSONE,È un **Massone**. Precisamente: **Avvocato, politico e uomo d'affari nigeriano, co-fondatore del Daily Times of Nigeria.**
Miguel Ricardo de Álava y Esquivel,MASSONE,È un **Massone**. Precisamente: **Generale e statista spagnolo. Fu imprigionato nel 1814 per essere un massone.**
Juan Bautista Alberdi,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Teorico politico e diplomatico argentino, considerato uno dei padri fondatori della Costituzione argentina**, è anche massone per il seguente motivo: **Intellettuale di spicco del Sud America.**
Prince Albert Victor,MASSONE,È un **Massone**. Precisamente: **Duca di Clarence e Avondale, figlio maggiore di Re Edoardo VII.**
Carl Albert,MASSONE,È un **Massone**. Precisamente: **Politico americano, Speaker della Camera dei Rappresentanti degli Stati Uniti dal 1971 al 1977.**
Horace M. Albright,MASSONE,È un **Massone**. Precisamente: **Conservazionista americano e direttore del Servizio Parchi Nazionali.**
James L. Alcorn,MASSONE,È un **Massone**. Precisamente: **Governatore e senatore degli Stati Uniti per il Mississippi durante la Ricostruzione.**
Chester Hardy Aldrich,MASSONE,È un **Massone**. Precisamente: **16° governatore del Nebraska.**
Nelson W. Aldrich,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Rhode Island.**
Edwin "Buzz" Aldrin,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Astronauta americano, secondo uomo a mettere piede sulla Luna (missione Apollo 11)**, è anche massone per il seguente motivo: **Membro della Loggia Montclair No. 144, portò con sé una bandiera massonica sulla Luna.**
Elizabeth Aldworth,MASSONE,È un **Massone**. Precisamente: **Nota donna massone.**
Vasile Alecsandri,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta, drammaturgo, politico e diplomatico rumeno, figura chiave del Romanticismo nazionale**, è anche massone per il seguente motivo: **Intellettuale influente del XIX secolo.**
Miguel Alemán Valdés,MASSONE,È un **Massone**. Precisamente: **Presidente del Messico dal 1946 al 1952.**
Alexander I of Russia,MASSONE,È un **Massone**. Precisamente: **Zar di Russia. Proibì e poi revocò il divieto della Massoneria in Russia.**
Alexander I of Yugoslavia,MASSONE,È un **Massone**. Precisamente: **Re del Regno di Jugoslavia.**
Prince Alexander of Yugoslavia,MASSONE,È un **Massone**. Precisamente: **Principe reale serbo, membro di più logge UGLE.**
George F. Alexander,MASSONE,È un **Massone**. Precisamente: **Giudice del tribunale territoriale degli Stati Uniti per il Territorio dell'Alaska.**
Grover Cleveland Alexander,MASSONE,È un **Massone**. Precisamente: **Famoso lanciatore della Major League Baseball.**
Harold Alexander,MASSONE,È un **Massone**. Precisamente: **Comandante militare britannico e Maresciallo di Campo. Governatore Generale del Canada.**
Nathaniel Alexander,MASSONE,È un **Massone**. Precisamente: **13° governatore del North Carolina.**
Alexander, Prince of Orange,MASSONE,È un **Massone**. Precisamente: **Erede apparente del Re Guglielmo III dei Paesi Bassi e Gran Maestro dei Paesi Bassi.**
Bernardo Soto Alfaro,MASSONE,È un **Massone**. Precisamente: **Presidente del Costa Rica.**
Eloy Alfaro,MASSONE,È un **Massone**. Precisamente: **Presidente dell'Ecuador.**
Bruce Alger,MASSONE,È un **Massone**. Precisamente: **Membro della Camera dei Rappresentanti degli Stati Uniti per il Texas.**
Russell A. Alger,MASSONE,È un **Massone**. Precisamente: **20° governatore del Michigan, Senatore degli Stati Uniti e Segretario alla Guerra.**
Sir Archibald Alison,MASSONE,È un **Massone**. Precisamente: **Storico scozzese.**
Tony Allcock,MASSONE,È un **Massone**. Precisamente: **Giocatore di bocce di fama mondiale.**
J. Frank Allee,MASSONE,È un **Massone**. Precisamente: **Mercante e politico americano, Senatore degli Stati Uniti per il Delaware.**
Alfred G. Allen,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Ohio.**
Charles Herbert Allen,MASSONE,È un **Massone**. Precisamente: **Primo governatore civile di Porto Rico nominato dagli Stati Uniti.**
Ethan Allen,MASSONE,È un **Massone**. Precisamente: **Giocatore americano di Major League Baseball.**
Frank G. Allen,MASSONE,È un **Massone**. Precisamente: **51° governatore del Massachusetts.**
Henry Justin Allen,MASSONE,È un **Massone**. Precisamente: **21° governatore del Kansas e Senatore degli Stati Uniti.**
Ira Allen,MASSONE,È un **Massone**. Precisamente: **Uno dei fondatori del Vermont e leader dei Green Mountain Boys.**
John Allen,MASSONE,È un **Massone**. Precisamente: **3° Visconte Allen, Gran Maestro della Gran Loggia d'Irlanda.**
Oscar K. Allen,MASSONE,È un **Massone**. Precisamente: **42° governatore della Louisiana.**
Samuel C. Allen,MASSONE,È un **Massone**. Precisamente: **Politico e maestro architetto.**
Salvador Allende,MASSONE,È un **Massone**. Precisamente: **Presidente del Cile (1970–1973). Membro della Loggia Progreso No. 4.**
Thomas Allibone,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Fisico inglese che condusse ricerche pionieristiche sulla corrente ad alta tensione**, è anche massone per il seguente motivo: **Scienziato attivo per oltre cinquant'anni.**
Roger Allin,MASSONE,È un **Massone**. Precisamente: **Quarto governatore del Nord Dakota.**
William B. Allison,MASSONE,È un **Massone**. Precisamente: **Leader del Partito Repubblicano dell'Iowa.**
James V. Allred,MASSONE,È un **Massone**. Precisamente: **33° governatore del Texas.**
Edward B. Almon,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Alabama.**
J. Lindsay Almond,MASSONE,È un **Massone**. Precisamente: **58° governatore della Virginia; giudice federale.**
Alfred S. Alschuler,MASSONE,È un **Massone**. Precisamente: **Architetto prolifico di Chicago.**
Richard Alsop,MASSONE,È un **Massone**. Precisamente: **Mercante e autore americano.**
Paul Althouse,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Cantante d'opera americano, tenore di fama internazionale**, è anche massone per il seguente motivo: **Membro di St. John's Lodge No. 435.**
Carlos María de Alvear,MASSONE,È un **Massone**. Precisamente: **Soldato e statista argentino, co-fondatore della Loggia Lautaro.**
Leo Amery,MASSONE,È un **Massone**. Precisamente: **Giornalista e politico britannico.**
Albert Alonzo "Doc" Ames,MASSONE,È un **Massone**. Precisamente: **Sindaco di Minneapolis.**
Ezra Ames,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore ritrattista americano di spicco, figura fondamentale dell'arte americana del primo XIX secolo**, è anche massone per il seguente motivo: **Pittore e artista.**
Oliver Ames,MASSONE,È un **Massone**. Precisamente: **35° governatore del Massachusetts.**
William Amherst,MASSONE,È un **Massone**. Precisamente: **3° Conte Amherst, nobile e politico britannico.**
Roald Amundsen,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Esploratore polare norvegese e scopritore del Polo Sud**, è anche massone per il seguente motivo: **Esploratore di fama mondiale.**
Abdul Rahman Andak,MASSONE,È un **Massone**. Precisamente: **Politico malese.**
Clinton Presba Anderson,MASSONE,È un **Massone**. Precisamente: **Congressman, Segretario all'Agricoltura e Senatore degli Stati Uniti per il New Mexico.**
George T. Anderson,MASSONE,È un **Massone**. Precisamente: **Generale dell'Esercito degli Stati Confederati.**
Heartley "Hunk "Anderson,MASSONE,È un **Massone**. Precisamente: **Giocatore e allenatore di football americano.**
Jack Z. Anderson,MASSONE,È un **Massone**. Precisamente: **Congressman per la California.**
